시나리오명,ATTACK_ID,ATTACK_NAME,CAPEC_ID,CAPEC_NAME,SIMILARITY,비고(설명),대응방안
shell 명령어 사용 탐지,T1059 Command and Scripting Interpreter,,,,0.4691,공격자가 시스템에서 셸 명령을 실행할 때 사용되는 기술입니다.,"시스템 강화: 서버에서 불필요한 명령어 실행을 제한하고, 사용자 권한을 최소화합니다. <br> 모니터링 강화: 비정상적인 셸 명령어 실행을 탐지하고 즉시 알람을 발생시킵니다."
vpn 클라이언트 탐지,T1078 Valid Accounts,,,,0.3696,유효 계정을 이용한 접근 탐지 시 활용될 수 있습니다.,"접근 통제: VPN 접근 시 2단계 인증(MFA)을 적용하고, 비인가된 접근을 탐지합니다."
미식별 에이전트 탐지,T1071.001 Web Protocols,,,,0.4727,알려지지 않은 User-Agent를 사용한 비정상적인 웹 통신을 탐지하는 기술입니다.,네트워크 필터링: 알려지지 않거나 비정상적인 User-Agent에 대한 접근을 차단합니다.
익스플로잇 패턴 취약점 탐지,T1190 Exploit Public-Facing Application,,,,0.3743,웹 서버와 같이 외부에 노출된 애플리케이션의 취약점을 악용하는 기술입니다.,즉시 패치: 시스템 및 애플리케이션의 최신 보안 패치를 항상 적용합니다.
php 확장자가 포함된 공격 탐지,T1505.003 Server Software Component: Web Shell,,,,0.5404,PHP 기반 웹쉘을 이용한 공격을 탐지하는 기술입니다.,웹방화벽(WAF) 도입: 웹쉘 업로드 시도를 탐지하고 차단합니다. <br> 파일 무결성 검사: 주요 시스템 파일에 대한 변경 사항을 주기적으로 확인합니다.
악성요청 탐지,T1071 Application Layer Protocol,,,,0.431,HTTP/HTTPS 등 애플리케이션 계층 프로토콜을 이용한 악성 요청을 탐지하는 기술입니다.,웹방화벽(WAF) 사용: 악성 요청 패턴을 분석하고 차단하는 정책을 적용합니다.
히든파일 접근 탐지,T1560.001 Archive via Compression,,,,0.4862,공격자가 숨겨진 파일을 압축 후 외부로 유출하는 과정에서 사용될 수 있습니다.,파일 시스템 모니터링: 중요한 시스템 디렉터리에서의 비정상적인 파일 생성 및 접근을 감시합니다.
"검색엔진, sns, vpn 클라이언트 등 에이전트 (봇) 접근 탐지",T1078 Valid Accounts,,,,0.5231,합법적인 계정을 도용하여 봇을 이용한 접근을 시도할 때 활용될 수 있습니다.,접근 통제: 비정상적인 계정 로그인 시도를 탐지하고 차단합니다.
디렉토리 트래버셜 공격 탐지,T1190 Exploit Public-Facing Application,,,,0.4602,외부에 노출된 웹 애플리케이션의 취약점을 악용하는 기술입니다.,입력값 필터링: 모든 사용자 입력에서 ..이나 ../와 같은 문자열을 필터링하여 상위 디렉터리 접근을 막습니다.
비정상 크롬브라우저 버전을 이용한 익스플로잇 패턴 탐지,T1071.001 Web Protocols,,,,0.2801,비정상적인 User-Agent 문자열을 이용한 웹 통신으로 공격을 시도할 때 사용됩니다.,"네트워크 보안 강화: 비정상적인 User-Agent를 차단하고, TLS/SSL 통신을 모니터링합니다."
